73;6;M;22;5;22S0;5;94;2023-05-04
78;6;M;22;5;22S0;5;94;2023-05-11
51;22;M;6;6;6S0;6;94;2023-03-16
51;22;M;6;6;6S0;6;94;2023-04-13
78;6;M;6;6;6S0;6;94;2023-05-04
73;6;M;6;6;6S0;6;94;2023-03-09
235;999;T;30;5;30S0;5;97;2023-03-27
235;999;T;30;5;30S0;5;97;2023-03-06
235;999;T;30;5;30S0;5;97;2023-05-29
235;999;T;30;5;30S0;5;97;2023-06-19
235;999;T;30;5;30S0;5;97;2023-05-08
235;999;T;30;5;30S0;5;97;2023-05-15
235;999;T;30;5;30S0;5;97;2023-03-20
235;999;T;30;5;30S0;5;97;2023-02-20
235;999;T;30;5;30S0;5;97;2023-04-03
235;999;T;30;5;30S0;5;97;2023-03-13
235;999;T;30;5;30S0;5;97;2023-06-26
235;999;T;30;5;30S0;5;97;2023-05-01
235;999;T;30;5;30S0;5;97;2023-04-17
235;999;T;30;5;30S0;5;97;2023-06-12
235;999;T;30;5;30S0;5;97;2023-07-03
235;999;T;30;5;30S0;5;97;2023-06-05
235;999;T;30;5;30S0;5;97;2023-07-10
235;999;T;30;5;30S0;5;97;2023-04-10
235;999;T;30;5;30S0;5;97;2023-02-27
235;999;T;30;5;30S0;5;97;2023-04-24
235;999;T;30;5;30S0;5;97;2023-05-22
248;12;M;22;5;22S0;5;84;2023-02-20
194;12;T;22;5;22S0;5;84;2023-03-31
603;999;N;38;6;38S0;6;96;2023-06-23
603;999;N;38;6;38S0;6;96;2023-04-28
603;999;N;38;6;38S0;6;96;2023-02-24
603;999;N;38;6;38S0;6;96;2023-04-07
603;999;N;38;6;38S0;6;96;2023-03-24
603;999;N;38;6;38S0;6;96;2023-07-14
603;999;N;38;6;38S0;6;96;2023-05-05
603;999;N;38;6;38S0;6;96;2023-06-02
603;999;N;38;6;38S0;6;96;2023-04-21
332;999;M;38;6;38S0;6;96;2023-03-17
603;999;N;38;6;38S0;6;96;2023-05-19
603;999;N;38;6;38S0;6;96;2023-06-09
603;999;N;38;6;38S0;6;96;2023-04-14
603;999;N;38;6;38S0;6;96;2023-06-16
332;999;M;38;6;38S0;6;96;2023-03-10
603;999;N;38;6;38S0;6;96;2023-05-12
603;999;N;38;6;38S0;6;96;2023-07-07
603;999;N;38;6;38S0;6;96;2023-03-03
603;999;N;38;6;38S0;6;96;2023-05-26
603;999;N;38;6;38S0;6;96;2023-03-10
603;999;N;38;6;38S0;6;96;2023-06-30
78;6;M;62;3;62S0;3;94;2023-06-08
51;22;M;62;3;62S0;3;94;2023-06-15
73;6;M;62;3;62S0;3;94;2023-05-25
603;999;N;46;5;46S0;5;96;2023-07-07
332;999;M;46;5;46S0;5;96;2023-07-07
332;999;M;46;5;46S0;5;96;2023-06-30
332;999;M;46;5;46S0;5;96;2023-04-28
332;999;M;46;5;46S0;5;96;2023-04-07
182;6;M;62;3;62S0;3;86;2023-03-08
357;6;M;62;3;62S0;3;86;2023-03-01
603;999;N;6;6;6S0;6;96;2023-04-14
603;999;N;6;6;6S0;6;96;2023-06-30
603;999;N;6;6;6S0;6;96;2023-07-14
332;999;M;6;6;6S0;6;96;2023-04-07
603;999;N;6;6;6S0;6;96;2023-05-05
603;999;N;6;6;6S0;6;96;2023-06-02
603;999;N;6;6;6S0;6;96;2023-07-07
603;999;N;6;6;6S0;6;96;2023-05-19
603;999;N;6;6;6S0;6;96;2023-06-09
603;999;N;6;6;6S0;6;96;2023-06-16
603;999;N;6;6;6S0;6;96;2023-05-12
332;999;M;6;6;6S0;6;96;2023-05-19
603;999;N;6;6;6S0;6;96;2023-04-21
603;999;N;6;6;6S0;6;96;2023-03-03
603;999;N;6;6;6S0;6;96;2023-05-26
603;999;N;6;6;6S0;6;96;2023-03-10
603;999;N;6;6;6S0;6;96;2023-03-31
603;999;N;6;6;6S0;6;96;2023-04-07
603;999;N;6;6;6S0;6;96;2023-06-23
603;999;N;6;6;6S0;6;96;2023-04-28
603;999;N;6;6;6S0;6;96;2023-03-24
64;12;M;62;3;62S0;3;80;2023-07-12
50;12;M;62;3;62S0;3;80;2023-04-26
292;12;T;6;6;6S0;6;82;2023-04-18
315;12;T;6;6;6S0;6;82;2023-03-21
159;9;T;38;6;38S0;6;90;2023-03-21
156;6;M;38;6;38S0;6;90;2023-03-03
198;6;T;38;6;38S0;6;90;2023-05-05
196;6;M;38;6;38S0;6;90;2023-04-21
159;9;T;38;6;38S0;6;90;2023-06-13
159;9;T;38;6;38S0;6;90;2023-02-28
159;9;T;46;5;46S0;5;90;2023-06-20
159;9;T;46;5;46S0;5;90;2023-03-28
156;6;M;46;5;46S0;5;90;2023-03-17
198;6;T;46;5;46S0;5;90;2023-07-07
196;6;M;46;5;46S0;5;90;2023-05-12
603;999;N;62;3;62S0;3;96;2023-05-26
603;999;N;62;3;62S0;3;96;2023-04-14
332;999;M;62;3;62S0;3;96;2023-06-16
603;999;N;62;3;62S0;3;96;2023-06-02
235;999;T;6;6;6S0;6;97;2023-05-01
235;999;T;6;6;6S0;6;97;2023-03-13
235;999;T;6;6;6S0;6;97;2023-07-03
292;12;T;62;3;62S0;3;82;2023-06-20
315;12;T;62;3;62S0;3;82;2023-05-30
